(24063.312, 621.712)
(11019.008, 43527.120)
(44322.096, 31435.040)
(35618.128, 25446.512)
(36932.896, 22489.376)
(40998.048, 23444.512)
(5283.824, 18874.128)
(17562.272, 35102.704)
(40888.848, 4600.960)
(40060.384, 13893.152)
(32301.360, 46667.712)
(41667.808, 39049.920)
(40261.312, 18448.976)
(6250.608, 18281.536)
(3583.216, 34010.704)
(25584.832, 15290.912)
(47269.040, 42069.664)
(44630.768, 25238.304)
(26123.552, 44230.368)
(31555.888, 30576.000)
(22658.272, 11399.024)
(32013.072, 34312.096)
(3182.816, 18432.960)
(17671.472, 15197.728)
(18003.440, 14670.656)
(44856.448, 44425.472)
(38426.752, 43521.296)
(11735.360, 14680.848)
(6448.624, 43831.424)
(8661.744, 15213.744)
(21227.024, 36619.856)
(41318.368, 18287.360)
(18175.248, 35644.336)
(5484.752, 9975.056)
(40572.896, 40944.176)
(8422.960, 14005.264)
(38560.704, 13855.296)
(2070.432, 35810.320)
(15631.616, 1648.192)
(17819.984, 43955.184)
(21100.352, 26081.328)
(30430.400, 11946.480)
(461.552, 4378.192)
(30452.240, 38418.016)
(47488.896, 15711.696)
(42079.856, 43998.864)
(5660.928, 24291.904)
(10413.312, 32547.424)
(21751.184, 35827.792)
(44221.632, 21883.680)
(19913.712, 10694.320)
(14297.920, 43768.816)
(19232.304, 10187.632)
(22761.648, 26132.288)
(27249.040, 15151.136)
(3016.832, 665.392)
(2746.016, 28617.680)
(29772.288, 66.976)
(2018.016, 46558.512)
(20450.976, 18119.920)
(44617.664, 33352.592)
(6144.320, 27228.656)
(11825.632, 47392.800)
(1189.552, 8141.952)
(11391.744, 20443.696)
(43467.424, 37936.080)
(851.760, 24288.992)
(23064.496, 20318.480)
(16499.392, 36528.128)
(27096.160, 11878.048)
(19995.248, 12865.216)
(43407.728, 32024.720)
(35842.352, 30277.520)
(8466.640, 45243.744)
(40984.944, 14322.672)
(29779.568, 44517.200)
(25602.304, 8770.944)
(10548.720, 11844.560)
(28986.048, 9219.392)
(46829.328, 45267.040)
(40875.744, 30638.608)
(39077.584, 11832.912)
(36992.592, 35558.432)
(38894.128, 18702.320)
(17020.640, 45080.672)
(46421.648, 7655.648)
(13542.256, 30228.016)
(24631.152, 47400.080)
(6246.240, 25822.160)
(31669.456, 20344.688)
(4255.888, 32382.896)
(25000.976, 28096.432)
(31989.776, 28642.432)
(38611.664, 14044.576)
(22269.520, 20634.432)
(149.968, 15235.584)
(9781.408, 36009.792)
(11631.984, 30613.856)
(38806.768, 42471.520)
(26736.528, 43869.280)
(9389.744, 5331.872)
(29345.680, 4114.656)
(18882.864, 14527.968)
(1485.120, 28885.584)
(21901.152, 28524.496)
(18288.816, 40650.064)
(39038.272, 14468.272)
(16050.944, 25943.008)
(2639.728, 5994.352)
(44118.256, 44093.504)
(26020.176, 21416.304)
(27841.632, 7144.592)
(4314.128, 1521.520)
(18368.896, 44341.024)
(41155.296, 44450.224)
(24735.984, 43115.072)
(16726.528, 25950.288)
(30249.856, 20429.136)
(32707.584, 12368.720)
(2211.664, 17431.232)
(1894.256, 28673.008)
(29945.552, 13692.224)
(26333.216, 38368.512)
(17266.704, 43049.552)
(22116.640, 8846.656)
(23595.936, 16479.008)
(44590.000, 46011.056)
(14296.464, 20471.360)
(12376.000, 42234.192)
(17964.128, 22699.040)
(30918.160, 38913.056)
(9494.576, 8246.784)
(31800.496, 43975.568)
(29505.840, 5241.600)
(29306.368, 15305.472)
(25951.744, 6234.592)
(41525.120, 9027.200)
(43493.632, 32668.272)
(42893.760, 16834.272)
(37154.208, 36494.640)
(44205.616, 39170.768)
(41293.616, 46896.304)
(4014.192, 24207.456)
(18553.808, 22062.768)
(23454.704, 42937.440)
(32007.248, 25731.888)
(16688.672, 9567.376)
(23521.680, 15994.160)
(30797.312, 15442.336)
(23725.520, 7807.072)
(15110.368, 15702.960)
(36593.648, 13533.520)
(20098.624, 15494.752)
(28432.768, 9216.480)
(4956.224, 4683.952)
(38921.792, 10556.000)
(37208.080, 27528.592)
(21991.424, 7271.264)
(46954.544, 937.664)
(12936.560, 19268.704)
(15237.040, 4535.440)
(29485.456, 19110.000)
(35733.152, 39435.760)
(21524.048, 18636.800)
(39151.840, 7846.384)
(3771.040, 25165.504)
(45127.264, 8414.224)
(44630.768, 27043.744)
(37707.488, 32026.176)
(36638.784, 11417.952)
(10002.720, 3207.568)
(39572.624, 37343.488)
(33881.120, 38556.336)
(6629.168, 35369.152)
